
 num     #instances         #bytes  class name
 201:            68           1088  org.springframework.expression.common.LiteralExpression
 202:            66           1056  [Ljava.lang.reflect.Constructor;
 203:            48           1048  [Ljava.lang.annotation.ElementType;
 204:             1           1040  [Ljava.lang.Byte;
 205:             1           1040  [Ljava.lang.Integer;
 206:             1           1040  [Ljava.lang.Long;
 207:             1           1040  [Ljava.lang.Short;
 208:            65           1040  org.springframework.cglib.core.Signature
 209:            42           1008  java.lang.RuntimePermission
 210:            21           1008  java.nio.HeapByteBuffer
 211:            25           1000  org.springframework.core.annotation.TypeMappedAnnotations
 212:            62            992  java.util.jar.Attributes$Name
 213:            48            960  [Lorg.springframework.core.type.MethodMetadata;
 214:            40            960  java.io.File
 215:            24            960  java.time.format.DateTimeFormatter
 216:            40            960  org.springframework.boot.autoconfigure.condition.OnClassCondition
 217:            20            960  org.springframework.web.servlet.mvc.method.RequestMappingInfo
 218:             9            936  org.springframework.context.annotation.ScannedGenericBeanDefinition
 219:            29            928  java.io.FilePermission
 220:            23            920  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 221:            44            912  [Ljava.lang.reflect.Parameter;
 222:            38            912  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 223:            38            912  org.springframework.core.io.ClassPathResource
 224:            36            896  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 225:            14            896  java.text.DecimalFormatSymbols
 226:            41            888  [Ljavax.management.MBeanOperationInfo;
 227:            51            880  [Ljava.lang.reflect.TypeVariable;
 228:            38            880  [Ljava.math.BigInteger;
 229:            27            864  com.intellij.rt.debugger.agent.CaptureAgent$InstrumentPoint
 230:            36            864  java.security.Permissions
 231:            53            848  java.util.Collections$UnmodifiableRandomAccessList
 232:            21            840  javax.management.MBeanOperationInfo
 233:            34            816  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 234:            34            816  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 235:            17            816  sun.util.calendar.ZoneInfo
 236:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 237:            50            800  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 238:            25            800  org.springframework.core.log.CompositeLog
 239:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 240:            12            768  java.text.SimpleDateFormat
 241:            48            768  org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source
 242:            12            768  org.springframework.web.method.HandlerMethod$HandlerMethodParameter
 243:            19            760  sun.management.DiagnosticCommandInfo
 244:            47            752  org.apache.coyote.ActionCode
 245:            31            744  java.security.BasicPermissionCollection
 246:            46            736  com.sun.proxy.$Proxy0
 247:            46            736  com.sun.proxy.$Proxy5
 248:            15            720  java.lang.management.PlatformComponent
 249:            30            720  java.security.Provider$EngineDescription
 250:            30            720  java.util.regex.Pattern$GroupTail
 251:            45            720  java.util.zip.ZStreamRef
 252:            15            720  javax.management.openmbean.ArrayType
 253:            30            720  org.springframework.core.annotation.AttributeMethods
 254:            10            720  sun.net.www.protocol.jar.URLJarFile
 255:            44            704  java.util.Collections$SingletonList
 256:            29            696  org.springframework.format.support.FormattingConversionService$ParserConverter
 257:            29            696  org.springframework.format.support.FormattingConversionService$PrinterConverter
 258:            43            688  com.sun.proxy.$Proxy6
 259:             7            680  [D
 260:            28            672  com.fasterxml.jackson.databind.DeserializationFeature
 261:            28            672  com.fasterxml.jackson.databind.MapperFeature
 262:            14            672  com.fasterxml.jackson.databind.type.SimpleType
 263:            21            672  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference
 264:            12            672  java.text.DateFormatSymbols
 265:            42            672  java.util.HashMap$EntrySet
 266:            21            672  java.util.PropertyPermission
 267:            21            672  org.springframework.web.servlet.mvc.condition.PatternsRequestCondition
 268:            21            672  sun.util.locale.BaseLocale
 269:            21            672  sun.util.locale.BaseLocale$Key
 270:            20            640  com.sun.jmx.mbeanserver.MXBeanSupport
 271:            40            640  com.sun.proxy.$Proxy15
 272:             3            624  [Ljava.lang.invoke.LambdaForm;
 273:            26            624  org.springframework.core.annotation.AnnotationTypeMappings
 274:             6            624  sun.nio.ch.SocketChannelImpl
 275:            39            624  sun.reflect.generics.tree.FormalTypeParameter
 276:            24            616  [Ljava.io.ObjectStreamField;
 277:            22            608  [Ljava.security.ProtectionDomain;
 278:            38            608  java.util.jar.Attributes
 279:            19            608  sun.management.DiagnosticCommandImpl$Wrapper
 280:            25            600  com.fasterxml.jackson.databind.SerializationFeature
 281:            25            600  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig
 282:            37            592  com.sun.proxy.$Proxy25
 283:             4            576  [Lcom.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket;
 284:            24            576  java.time.Duration
 285:            36            576  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser
 286:            36            576  java.util.LinkedHashMap$LinkedEntrySet
 287:            12            576  java.util.Properties
 288:            12            576  java.util.concurrent.ThreadPoolExecutor$Worker
 289:            24            576  java.util.concurrent.locks.ReentrantReadWriteLock
 290:            18            576  java.util.regex.Pattern$Curly
 291:            24            576  org.springframework.core.type.StandardAnnotationMetadata
 292:            14            560  java.text.DigitList
 293:            14            560  javax.management.openmbean.SimpleType
 294:             1            544  org.springframework.boot.web.embedded.tomcat.TomcatEmbeddedContext
 295:            17            544  sun.reflect.generics.repository.MethodRepository
 296:             1            528  [Ljava.lang.Character;
 297:            33            528  com.sun.proxy.$Proxy10
 298:            33            528  java.util.regex.Pattern$Ctype
 299:            21            520  [Ljava.util.regex.Pattern$Node;
 300:            13            520  ch.qos.logback.core.status.InfoStatus
 301:             7            512  [Lsun.invoke.util.Wrapper;
 302:             9            504  com.fasterxml.jackson.databind.cfg.BaseSettings
 303:            21            504  java.util.Locale
 304:            21            504  java.util.Locale$LocaleKey
 305:            21            504  java.util.regex.Pattern$Branch
 306:             9            504  javax.management.openmbean.OpenMBeanParameterInfoSupport
 307:            31            496  org.apache.tomcat.util.res.StringManager
 308:             6            480  com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl
 309:            30            480  java.io.FilePermissionCollection
 310:            15            480  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 311:            20            480  java.net.InetAddress$InetAddressHolder
 312:            20            480  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 313:            30            480  java.util.regex.Pattern$GroupHead
 314:             2            480  org.apache.catalina.core.StandardWrapper
 315:            15            480  org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key
 316:            20            480  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistration
 317:            10            480  sun.invoke.util.Wrapper
 318:            29            464  java.util.Arrays$ArrayList
 319:            19            456  sun.reflect.generics.tree.MethodTypeSignature
 320:             4            448  [Ljava.lang.ClassValue$Entry;
 321:            14            448  com.sun.jmx.mbeanserver.PerInterface
 322:            14            448  java.io.FileDescriptor
 323:            14            448  java.lang.ThreadLocal$ThreadLocalMap$Entry
 324:            28            448  java.security.Provider$UString
 325:            14            448  org.springframework.beans.propertyeditors.CustomNumberEditor
 326:            19            440  [Lsun.management.DiagnosticCommandArgumentInfo;
 327:            11            440  org.apache.catalina.util.Extension
 328:            11            440  sun.util.locale.provider.LocaleResources$ResourceReference
 329:            18            432  javax.management.MBeanParameterInfo
 330:             9            432  javax.management.openmbean.CompositeType
 331:             1            424  [[[C
 332:            13            416  java.lang.invoke.BoundMethodHandle$Species_LL
 333:            26            416  java.util.concurrent.atomic.AtomicLong
 334:            19            408  [Lsun.reflect.generics.tree.TypeSignature;
 335:            17            408  org.springframework.boot.ansi.AnsiColor
 336:            25            400  com.sun.proxy.$Proxy28
 337:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 338:            25            400  java.util.HashMap$KeySet
 339:            25            400  java.util.regex.Pattern$BitClass
 340:            10            400  sun.nio.fs.WindowsPath
 341:             7            392  java.nio.DirectByteBuffer
 342:             1            392  org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller
 343:             4            384  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 344:             1            384  java.lang.ref.Finalizer$FinalizerThread
 345:             6            384  java.lang.reflect.Field
 346:            16            384  java.time.temporal.ChronoUnit
 347:             6            384  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 348:            24            384  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 349:            24            384  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 350:            24            384  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 351:             1            384  java.util.logging.LogManager$Cleaner
 352:            16            384  org.springframework.beans.factory.config.BeanDefinitionHolder
 353:             1            384  org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1
 354:             1            384  org.springframework.context.support.AbstractApplicationContext$1
 355:            12            384  org.springframework.util.MimeType
 356:            24            384  sun.reflect.generics.tree.TypeVariableSignature
 357:            20            376  [Ljavax.management.MBeanParameterInfo;
 358:             1            376  java.lang.ref.Reference$ReferenceHandler
 359:            23            368  com.hzp.meet.demos.pojo.BytePOJO
 360:            23            368  com.sun.jmx.mbeanserver.NamedObject
 361:            21            360  [Lorg.springframework.core.MethodParameter;
 362:            15            360  com.fasterxml.jackson.core.JsonParser$Feature
 363:             9            360  com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$Limit
 364:             9            360  java.lang.invoke.DirectMethodHandle$Constructor
 365:            15            360  javax.websocket.CloseReason$CloseCodes
 366:             9            360  org.springframework.beans.factory.support.DisposableBeanAdapter
 367:            14            336  ch.qos.logback.core.spi.ContextAwareBase
 368:            14            336  com.fasterxml.jackson.databind.util.LRUMap
 369:            21            336  java.lang.invoke.Invokers
 370:             3            336  java.net.SocksSocketImpl
 371:            21            336  java.util.AbstractMap$SimpleImmutableEntry
 372:            14            336  java.util.ArrayList$Itr
 373:            21            336  java.util.HashMap$Values
 374:             7            336  java.util.concurrent.ConcurrentHashMap$KeyIterator
 375:            21            336  java.util.regex.Pattern$BranchConn
 376:            13            320  [Lcom.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State;
 377:             7            320  [Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$State;
 378:             5            320  com.fasterxml.jackson.databind.introspect.AnnotatedClass
 379:            10            320  java.lang.OutOfMemoryError
 380:            20            320  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser
 381:             2            320  org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper
 382:            10            320  sun.security.jca.ProviderConfig
 383:            16            312  [Ljava.lang.management.PlatformComponent;
 384:            13            312  java.lang.invoke.SimpleMethodHandle
 385:            13            312  java.lang.management.ManagementPermission
 386:            13            312  java.net.InetSocketAddress$InetSocketAddressHolder
 387:            13            312  org.apache.coyote.AsyncStateMachine$AsyncState
 388:            19            304  com.sun.proxy.$Proxy22
 389:            19            304  java.lang.ThreadLocal
 390:            19            304  java.util.regex.Pattern$Single
 391:            19            304  sun.misc.MetaIndex
 392:             1            288  [Lorg.springframework.http.HttpStatus;
 393:             4            288  com.fasterxml.jackson.databind.DeserializationConfig
 394:             4            288  com.fasterxml.jackson.databind.SerializationConfig
 395:             4            288  com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl
 396:             6            288  java.nio.DirectLongBufferU
 397:            18            288  java.text.DateFormat$Field
 398:            12            288  java.util.BitSet
 399:             9            288  java.util.logging.Level
 400:            12            288  org.apache.catalina.LifecycleState
 401:            12            288  org.springframework.core.convert.support.GenericConversionService$ConverterFactoryAdapter
 402:             9            288  org.springframework.util.AntPathMatcher
 403:             7            280  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping
 404:            17            272  [Ljavax.management.MBeanNotificationInfo;
 405:            17            272  com.sun.proxy.$Proxy3
 406:            17            272  sun.invoke.util.ValueConversions$WrapperCache
 407:            17            272  sun.reflect.generics.scope.MethodScope
 408:             3            264  java.net.DualStackPlainSocketImpl
 409:             3            264  org.apache.catalina.webresources.CachedResource
 410:             2            256  [Lcom.fasterxml.jackson.databind.DeserializationFeature;
 411:             2            256  [Lcom.fasterxml.jackson.databind.MapperFeature;
 412:             4            256  com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer
 413:             4            256  com.fasterxml.jackson.databind.ObjectMapper
 414:             4            256  com.fasterxml.jackson.databind.deser.DefaultDeserializationContext$Impl
 415:             4            256  com.fasterxml.jackson.datatype.jsr310.JavaTimeModule
 416:             8            256  com.intellij.rt.debugger.agent.CaptureStorage$WeakKey
 417:             8            256  java.lang.ClassValue$Entry
 418:             8            256  java.lang.Throwable
 419:             8            256  javax.management.MBeanNotificationInfo
 420:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 421:            16            256  sun.nio.ch.OptionKey
 422:            16            256  sun.nio.ch.SocketOptionRegistry$RegistryKey
 423:            15            240  [Ljavax.management.MBeanConstructorInfo;
 424:            10            240  com.fasterxml.jackson.core.JsonGenerator$Feature
 425:             5            240  com.fasterxml.jackson.databind.introspect.BasicBeanDescription
 426:            15            240  com.sun.proxy.$Proxy45
 427:            15            240  java.net.Inet4Address
 428:            10            240  java.util.Date
 429:            15            240  java.util.concurrent.atomic.AtomicReference
 430:             6            240  org.springframework.beans.PropertyValue
 431:             5            240  sun.management.MemoryPoolImpl
 432:             2            240  sun.nio.ch.WindowsSelectorImpl
 433:             7            232  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 434:             2            224  [Lcom.fasterxml.jackson.databind.SerializationFeature;
 435:             8            224  [Ljava.lang.invoke.LambdaForm$BasicType;
 436:             4            224  com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer
 437:             4            224  com.fasterxml.jackson.databind.MappingJsonFactory
 438:            14            224  com.fasterxml.jackson.databind.ser.std.ToStringSerializer
 439:            14            224  com.sun.proxy.$Proxy39
 440:            14            224  java.lang.invoke.LambdaFormEditor$Transform$Kind
 441:             7            224  java.util.HashMap$KeyIterator
 442:            14            224  java.util.concurrent.ConcurrentHashMap$KeySetView
 443:            14            224  java.util.concurrent.atomic.AtomicBoolean
 444:            14            224  java.util.regex.Pattern$Slice
 445:            14            224  java.util.regex.Pattern$Start
 446:            14            224  javax.management.StandardMBean
 447:            14            224  org.apache.tomcat.util.http.MimeHeaderField
 448:             7            224  org.springframework.boot.logging.logback.ColorConverter
 449:             4            224  org.springframework.util.LinkedCaseInsensitiveMap$1
 450:            14            224  org.springframework.web.servlet.mvc.condition.RequestMethodsRequestCondition
 451:             2            224  org.springframework.web.servlet.resource.ResourceHttpRequestHandler
 452:             7            224  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 453:             4            224  sun.security.provider.SHA
 454:             3            216  java.util.concurrent.ThreadPoolExecutor
 455:             9            216  java.util.regex.Pattern$Ques
 456:             9            216  jdk.internal.org.objectweb.asm.Type
 457:             9            216  org.jetbrains.capture.org.objectweb.asm.Type
 458:             1            216  org.springframework.beans.factory.support.DefaultListableBeanFactory
 459:             9            216  org.springframework.boot.autoconfigure.condition.OnWebApplicationCondition
 460:             9            216  org.springframework.core.io.DefaultResourceLoader
 461:             9            216  org.springframework.core.io.FileSystemResource
 462:             9            216  sun.rmi.runtime.Log$LoggerLog
 463:             9            216  sun.util.logging.PlatformLogger$Level
 464:            13            208  com.sun.proxy.$Proxy23
 465:            13            208  java.net.InetSocketAddress
 466:             8            200  [Ljava.lang.CharSequence;
 467:             1            200  [Lorg.apache.coyote.ActionCode;
 468:             5            200  com.fasterxml.jackson.core.util.DefaultPrettyPrinter
 469:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 470:             5            200  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
 471:             5            200  java.util.stream.StreamOpFlag
 472:             1            200  org.apache.tomcat.util.net.NioEndpoint
 473:             5            200  sun.management.MemoryPoolImpl$CollectionSensor
 474:             5            200  sun.management.MemoryPoolImpl$PoolSensor
 475:             2            192  [Ljava.lang.Thread;
 476:             6            192  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 477:             7            192  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 478:             8            192  [Lorg.springframework.web.bind.annotation.RequestMethod;
 479:            12            192  ch.qos.logback.core.pattern.LiteralConverter
 480:             8            192  com.fasterxml.jackson.databind.module.SimpleSerializers
 481:             6            192  com.sun.org.apache.xalan.internal.utils.XMLSecurityManager
 482:            12            192  com.sun.proxy.$Proxy34
